Name	Icon
3D Shooter	icons_user/BlackOps.gif
Action Game	icons_user/BangBoy.gif
Adventure Game	icons_user/PlumpNdapper.gif
System Tool	icons_user/ZerToolz.gif
Emulator	icons_user/Zipdisk.gif
Internet	icons_user/NetObserver.gif
Racing game	icons_user/ToasterBot.gif
Strategy game	icons_user/TheCrownSitsHeavilyToday.gif
Converter	icons_user/GrrZap.gif
Role Playing Game	icons_user/He-MansAxe.gif
Family Game	icons_user/LeSmileyDeClassique.gif
Graphics Editor	icons_user/PhotoNetMagicHooya!.gif
Operating System	icons_user/BetterVirtualPC.gif
Editor	icons_user/Milton.gif
Driver	icons_user/UmaxAstra1200sscanner.gif
e-Books	icons_user/HitachiRasterOpsmonitor.gif
